select s.operator_code, s.line_name, t.operator_code, t.line_name, t.service_description, count(*) from sirivm_journeys as s left join timetable_journeys as t on s.departure_time = t.departure_time and s.origin = t.origin and s.destination = t.destination group by s.operator_code, s.line_name, t.operator_code, t.line_name, t.service_description order by s.operator_code, s.line_name, t.operator_code, t.line_name;
+-----------------+-------------+-----------------+----------------------------+--------------------------------------------------------------------------------------+---------+
| operator_code   | line_name   | operator_code   | line_name                  | service_description                                                                  | count   |
| SCCM            | 22          | SCHU            | 22                         | St Ives Town Circular                                                                | 10      |
| SCCM            | 23          | SCPB            | 23                         | Peterborough - Lynch Wood                                                            | 9       |
| SCCM            | 24          | SCPB            | 24                         | Peterborough - Lynch Wood                                                            | 2       |
| SCCM            | 26          | SCCM            | 26                         | Cambridge - Foxton - Melbourn - Royston                                              | 22      |
| SCCM            | 3           | SCBD            | 3                          | Bedford : Town Centre - Fenlake                                                      | 45      |
| SCCM            | 3           | SCCM            | 3|Citi                     | Fison Road - City Centre - Rail Station - Cherry Hinton - Fulbourn                   | 162     |
| SCCM            | 3           | SCPB            | 3|Citi                     | North Bretton - Peterborough - Stanground                                            | 142     |
| SCCM            | 30          | SCHU            | 30                         | Huntingdon - RAF Wyton - Warboys - Ramsey                                            | 11      |
| SCCM            | 31          | SCPB            | 31                         | Peterborough - Whittlesey - Ramsey                                                   | 13      |
| SCCM            | 33          | SCPB            | 33                         | Peterborough - Whittlesey - March ( - Chatteris)                                     | 39      |
| SCCM            | 35          | SCHU            | 35                         | March - Chatteris - Huntingdon                                                       | 13      |
| SCCM            | 36          | SCPB            | 36                         | Peterborough - Thorney                                                               | 22      |
| SCCM            | 37          | SCPB            | 37|InterConnect            | Peterborough - Spalding                                                              | 3       |
| SCCM            | 37          | <null>          | <null>                     | <null>                                                                               | 22      |
| SCCM            | 4           | SCBD            | 4                          | Bedford : Town Centre - Goldington                                                   | 61      |
| SCCM            | 4           | SCCM            | 4|Citi                     | Cambridge - Hardwick - Cambourne                                                     | 82      |
| SCCM            | 4           | SCPB            | 4|Citi                     | North Bretton - Peterborough - Parnwell                                              | 89      |
| SCCM            | 41          | SCBD            | 41                         | Bedford - Northampton                                                                | 48      |
| SCCM            | 42          | SCBD            | 42                         | Bedford - Ampthill - Flitwick                                                        | 24      |
| SCCM            | 46          | SCPB            | 46                         | Peterborough - Yaxley - Stilton - Sawtry                                             | 6       |
| SCCM            | 5           | SCBD            | 5                          | Bedford : Town Centre - Woodside - Goldington                                        | 133     |
| SCCM            | 5           | SCHU            | 5|Citi                     | Cambridge - Bar Hill - Longstanton - Swavesey ( - Fenstanton)                        | 73      |
| SCCM            | 5           | SCPB            | 5|Citi                     | Yaxley, Lansdowne Road - Welland, Belvior Way                                        | 157     |
| SCCM            | 5           | <null>          | <null>                     | <null>                                                                               | 4       |
| SCCM            | 51          | SCBD            | 51                         | Bedford - Clapham - Oakley                                                           | 41      |
| SCCM            | 53          | SCBD            | 53                         | Bedford - Wootton - Cranfield - Cranfield University                                 | 78      |
| SCCM            | 6           | SCBD            | 6                          | Bedford : Town Centre - Brickhill                                                    | 126     |
| SCCM            | 6           | SCCM            | 6|Citi                     | Cambridge City Centre - Girton - Oakington                                           | 47      |
| SCCM            | 6           | SCPB            | 6|Citi                     | Peterborough - Hampton College                                                       | 75      |
| SCCM            | 6           | <null>          | <null>                     | <null>                                                                               | 7       |
| SCCM            | 60          | SCPB            | 60                         | Peterborough - Orton Northgate                                                       | 7       |
| SCCM            | 61          | SCPB            | 61                         | Peterborough - Newark, Sainsbury's                                                   | 24      |
| SCCM            | 62          | SCPB            | 62                         | Peterborough - Maxey                                                                 | 12      |
| SCCM            | 63          | SCPB            | 63                         | Peterborough - Parnwell                                                              | 5       |
| SCCM            | 66          | SCHU            | 66                         | Huntingdon - Brampton - Buckden - St Neots                                           | 22      |
| SCCM            | 7           | SCBD            | 7                          | Bedford : Town Centre - Putnoe - Woodside                                            | 58      |
| SCCM            | 7           | SCCM            | 7|Citi                     | Saffron Walden - Duxford - Sawston - Cambridge                                       | 69      |
| SCCM            | 71          | SCBD            | 71                         | Bedford - Hitchin                                                                    | 23      |
| SCCM            | 72          | SCBD            | 72                         | Bedford - Hitchin                                                                    | 24      |
| SCCM            | 73          | SCBD            | 73                         | Bedford - Biggleswade                                                                | 47      |
| SCCM            | 8           | SCBD            | 8                          | Bedford : Town Centre - Great Denham                                                 | 61      |
| SCCM            | 8           | SCCM            | 8|Citi                     | Cambridge - Impington - Histon - Cottenham                                           | 88      |
| SCCM            | 81          | SCBD            | 81                         | Bedford - Luton                                                                      | 27      |
| SCCM            | 9           | SCBD            | 9                          | Bedford : Town Centre - Shortstown                                                   | 126     |
| SCCM            | 9           | SCCM            | 9                          | Cambridge - Waterbeach - Ely - Littleport - Chatteris                                | 65      |
| SCCM            | 99          | SCBD            | 99                         | Luton Airport - Luton - Central Milton Keynes                                        | 35      |
| SCCM            | A           | SCHU            | A|the busway               | Trumpington - Central Cambridge - Longstanton - St Ives                              | 114     |
| SCCM            | A           | <null>          | <null>                     | <null>                                                                               | 3       |
| SCCM            | B           | SCHU            | B|the busway               | Central Cambridge - Longstanton - St Ives - Huntingdon - Peterborough                | 136     |
| SCCM            | N           | SCHU            | N                          | Cambridge - Longstanton - St Ives                                                    | 26      |
| SCCM            | PR1         | SCCM            | Madingley Road Park & Ride | Cambridge : City Centre - Madingley Road Park & Ride                                 | 141     |
| SCCM            | PR2         | SCCM            | Newmarket Road Park & Ride | Cambridge : City Centre - Newmarket Road Park & Ride                                 | 140     |
| SCCM            | PR3         | SCCM            | Trumpington Park & Ride    | Cambridge : City Centre - Trumpington Park & Ride                                    | 105     |
| SCCM            | PR4         | SCCM            | Babraham Road Park & Ride  | Cambridge City Centre - Babraham Road Park & Ride                                    | 154     |
| SCCM            | PR5         | SCCM            | Milton Road Park & Ride    | Cambridge City Centre - Milton Park & Ride                                           | 113     |
| SCCM            | R           | SCHU            | R|the busway               | Trumpington P & R - Cambridge Rail Station                                           | 56      |
| SCCM            | Tour        | <null>          | <null>                     | <null>                                                                               | 11      |
| SCCM            | X13         | SCCM            | X13                        | Cambridge - Linton - Haverhill                                                       | 8       |
| SCCM            | X13         | <null>          | <null>                     | <null>                                                                               | 1       |
| SCCM            | X5          | SCBD            | X5                         | Cambridge - Bedford - Milton Keynes - Oxford                                         | 196     |
| SCCM            | X9          | SCCM            | 9                          | Cambridge - Waterbeach - Ely - Littleport - Chatteris                                | 1       |
| SCCM            | X9          | SCCM            | X9                         | Cambridge - Ely - Littleport                                                         | 11      |
| SCFensOVD       | X31         | <null>          | <null>                     | <null>                                                                               | 1       |
| SCNH            | 1           | SCNH            | 1                          | Welland Vale - Corby Town Centre - Taunton Avenue                                    | 105     |
| SCNH            | 10          | SCNH            | 10                         | West Hunsbury - Northampton Town Centre - Parklands - Moulton - Mawsley - Kettering  | 14      |
| SCNH            | 10          | SCWW            | 10                         | Rugby - DIRFT - Middlemore - Timken - Daventry - Monksmoor                           | 1       |
| SCNH            | 14          | SCNH            | 14                         | Wellingborough - Irchester - Rushden                                                 | 22      |
| SCNH            | 15          | SCNH            | 15                         | Almond Road - Kettering Town Centre - Tesco, Orion Way                               | 54      |
| SCNH            | 19          | SCNH            | 19                         | Kettering - Rothwell - Desborough - Corby                                            | 89      |
