2017-10-27,09:55:00,0500SFULB008,0500CCITY336,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-24-T0
2017-10-27,10:05:00,0500SFULB008,0500CCITY242,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-25-T0
2017-10-27,10:00:00,0500SFULB020,0500CCITY242,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-26-T0
2017-10-27,10:25:00,0500SFULB008,0500CCITY242,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-27-T0
2017-10-27,10:35:00,0500SFULB008,0500CCITY242,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-28-T0
2017-10-27,10:30:00,0500SFULB020,0500CCITY242,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-29-T0
2017-10-27,10:55:00,0500SFULB008,0500CCITY242,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-30-T0
2017-10-27,11:05:00,0500SFULB008,0500CCITY242,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-31-T0
2017-10-27,11:00:00,0500SFULB020,0500CCITY242,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-32-T0
2017-10-27,05:50:00,0500CCITY242,0500SFULB020,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-33-T0
